Gene,logFC,logCPM,LR,pvalue,padj
WBGene00010541,-0.868488501519636,1.84433262674565,20.15695087749,7.13405287305123e-6,1.1643283145063e-4
WBGene00019081,-0.86847482643536,4.27323016681069,33.8912002496417,5.828171043962581e-9,2.19010993552851e-7
WBGene00012173,-0.868467164489269,3.51449287767637,24.3339384310801,8.09993027348609e-7,1.72021405148706e-5
WBGene00044520,0.86836705027962,-1.28781118500402,4.10482037753647,0.0427611334769623,0.167368585885948
WBGene00016535,-0.86824419743383,4.2014631501369,4.55874050529062,0.0327511502539733,0.137763174278199
WBGene00000022,-0.868171144371966,5.79844930983813,10.7471172301446,0.00104441883368788,0.00868203206792328
WBGene00020289,-0.866994486206623,4.48058403281708,35.2316463771282,2.9272785878754403e-9,1.19425113775097e-7
WBGene00006588,-0.866969678931363,7.51710474780413,56.3896682432703,5.94418877530813e-14,6.48295488940478e-12
WBGene00020901,0.86670108283517,1.82176889044252,14.6498969427984,1.2944172148415e-4,0.00148200214371756
WBGene00015026,-0.866522044850771,3.4308616755485,32.770082915859,1.03729059879718e-8,3.64984963265718e-7
WBGene00022102,-0.865906398149552,3.40844949662303,26.7804580167465,2.27930675804792e-7,5.6415933545716e-6
WBGene00022564,0.865583023027545,1.81903931770048,21.4657812682882,3.60199302296826e-6,6.37392107328741e-5
WBGene00015305,-0.865479795941307,3.49148168218871,24.696552168006,6.71041133601921e-7,1.45560626246851e-5
WBGene00018999,-0.865382568300174,3.85397439419837,35.058929125078,3.1987680130804104e-9,1.29727813863817e-7
WBGene00001476,0.865236467728846,4.76754848126984,7.42878926782699,0.00641885144854778,0.0389873659649424
WBGene00007811,0.864904514610618,6.8352323673745,10.3060186739672,0.00132597038450838,0.0105610821285763
WBGene00016937,0.86422164360003,3.2359937956419,23.9842296097607,9.71280159605718e-7,2.01677619570244e-5
WBGene00009192,-0.863820646750272,4.47691492076452,29.7595918366732,4.89080462794199e-8,1.44118166512284e-6
WBGene00013862,0.862993693762721,4.72689040577065,11.7469859423734,6.0941847439103e-4,0.00554984389103616
WBGene00010265,-0.862910813336545,5.18858069345197,46.6393492616144,8.53294969274718e-12,6.28664438446965e-10
WBGene00010181,-0.862872946403277,3.04131534982273,27.308763882359,1.73423604362039e-7,4.40805122507968e-6
WBGene00020984,-0.862583198146858,2.26662294573769,23.5813953807268,1.19739661521349e-6,2.42805424751625e-5
WBGene00014238,-0.862424533597279,4.64413911333013,30.9010689887769,2.71522176750524e-8,8.63289150818305e-7
WBGene00194816,-0.86214201015737,4.15630641752579,35.2645396081623,2.8782524332596904e-9,1.17952335868988e-7
WBGene00020986,-0.861933070860863,2.93253868518818,16.4086175488647,5.10526001105066e-5,6.601775065194e-4
WBGene00021055,0.86146454962221,2.35893485243577,19.5612805284204,9.74237699515655e-6,1.5451771161205e-4
WBGene00017114,-0.861246872061014,4.81265546800433,31.0741929088976,2.4835147715037e-8,7.97024816763351e-7
WBGene00044243,-0.860976000137175,2.50033288015642,21.4977351453799,3.54246804161774e-6,6.27670308344892e-5
WBGene00219326,-0.860033925291447,3.81441361490746,28.489318994892,9.42168156527352e-8,2.58435403656676e-6
WBGene00018466,0.859029325148149,1.66493507295731,12.4001234985085,4.2930545528541e-4,0.00411492886499938
WBGene00014136,-0.858689810311177,2.46247322728602,10.0183396707037,0.00154989122123486,0.0120706321995176
WBGene00022653,-0.858477330323097,5.0577779043205,29.778202335793,4.84407906706463e-8,1.43064037275739e-6
WBGene00010617,-0.858406049748851,3.7496578776279,29.0920317696998,6.90202775116984e-8,1.95795864961942e-6
WBGene00015434,-0.85835309450215,3.17655952568119,9.36954839505602,0.00220619868011539,0.0161612761220655
WBGene00003778,0.858255803964411,4.54274821711595,13.433888120766,2.4711940583307e-4,0.00257122528874207
WBGene00007209,-0.85805053277239,4.31702469929998,35.8352495079802,2.1472756909053902e-9,9.01559387094096e-8
WBGene00016826,-0.857694933243277,3.41165035997612,30.7551231766865,2.92729958913052e-8,9.25344414000553e-7
WBGene00010460,-0.857531583101519,2.41264071836651,23.8057900868763,1.06561430021342e-6,2.18347241529508e-5
WBGene00009641,-0.856702208804578,4.76093765169112,37.7540944597541,8.02481086235354e-10,3.7810533107905e-8
